MQ_rankings:
       gene  traj       <Q>  MisfoldingProp  num_frames  num_misfolded_frames  Folded
95558  1939.725041  25862   79  144  0.15488  0.0          +22 -0.02083 -0.0               0  LossChiral    NoChange   0.97604      99.0               1               1    0
95559  1939.725041  25862   83  144  0.11545  0.0          +22  0.00358  0.0               0  LossChiral    NoChange   0.91891      99.0               1               1    0
95560  1939.725041  25862   84  143  0.07314  0.0          +22  0.00416  0.0               0  LossChiral    NoChange   0.93884      99.0               1               1    0
95561  1939.725041  25862   84  144  0.08468  0.0          +22  0.00197  0.0               0  LossChiral    NoChange   0.94924      99.0               1               1    0
95562  1939.725041  25862   85  143  0.11427  0.0          +22  0.00087  0.0               0  LossChiral    NoChange   0.84821      99.0               1               1    0
95563  1939.725041  25862   97  207 -0.27223 -0.0      +23,-82  0.89241  1.0  +234,-244,+259  LossChiral    NoChange   0.91099      99.0               2               3    3
95564  1939.725041  25862   97  210 -0.25894 -0.0      +23,-82  0.91902  1.0  +234,-244,+259  LossChiral    NoChange   0.91439      99.0               2               3    3
95565  1939.725041  25862   97  211 -0.26298 -0.0          +23  0.92971  1.0            +260  LossChiral    NoChange   0.89805      99.0               1               1    1
95566  1939.725041  25862   98  242 -0.18468 -0.0      +23,-82  0.90735  1.0            +259  LossChiral    NoChange   0.89515      99.0               2               1    2
95567  1939.725041  25862   98  245 -0.17724 -0.0      +23,-82  0.92753  1.0            +259  LossChiral    NoChange   0.90574      99.0               2               1    2
95568  1939.725041  25862   99  241 -0.11721 -0.0  +23,-82,+92  0.89499  1.0            +259  LossChiral    NoChange   0.93829      99.0               3               1    4
95569  1939.725041  25862  101  244 -0.13692 -0.0      +23,-82  1.02027  1.0            +259  LossChiral    NoChange   1.02947      99.0               2               1    2
95570  1939.725041  25862  101  245 -0.09605 -0.0      +23,-82  0.90290  1.0            +259  LossChiral    NoChange   1.03778      99.0               2               1    2
95571  1939.725041  25862  101  248 -0.09880 -0.0      +23,-82  0.94814  1.0            +259  LossChiral    NoChange   1.04348      99.0               2               1    2
95572  1939.725041  25862  102  241 -0.08796 -0.0  +23,-82,+92  0.88999  1.0            +259  LossChiral    NoChange   0.98446      99.0               3               1    4
95573  1939.725041  25862  102  244 -0.07551 -0.0  +23,-82,+92  1.00879  1.0            +259  LossChiral    NoChange   1.00364      99.0               3               1    4
95574  1939.725041  25862  105  244 -0.07938 -0.0          +23  0.98076  1.0            +259  LossChiral    NoChange   0.94783      99.0               1               1    1
95575  1939.725041  25862  109  148 -0.11635 -0.0          +22  0.06242  0.0               0  LossChiral    NoChange   0.95177      99.0               1               1    0
95576  1939.725041  25862  109  149 -0.10776 -0.0          +22  0.04370  0.0               0  LossChiral    NoChange   0.96409      99.0               1               1    0
95577  1939.725041  25862  109  150 -0.08101 -0.0          +22  0.07466  0.0               0  LossChiral    NoChange   0.95961      99.0               1               1    0
95578  1939.725041  25862  109  152 -0.08073 -0.0          +22  0.00074  0.0               0  LossChiral    NoChange   0.95323      99.0               1               1    0
95579  1939.725041  25862  110  146 -0.15260 -0.0          +22 -0.00928 -0.0               0  LossChiral    NoChange   1.08295      99.0               1               1    0
95580  1939.725041  25862  110  147 -0.10683 -0.0          +22  0.01431  0.0               0  LossChiral    NoChange   1.04602      99.0               1               1    0
95581  1939.725041  25862  110  148 -0.04669 -0.0          +22  0.03010  0.0               0  LossChiral    NoChange   0.99290      99.0               1               1    0
95582  1939.725041  25862  110  149 -0.03524 -0.0          +22  0.01153  0.0               0  LossChiral    NoChange   1.00642      99.0               1               1    0
95583  1939.725041  25862  111  146 -0.20802 -0.0          +22 -0.01524 -0.0               0  LossChiral    NoChange   1.07304      99.0               1               1    0
95584  1939.725041  25862  111  147 -0.15643 -0.0          +22  0.01064  0.0               0  LossChiral    NoChange   1.03195      99.0               1               1    0
95585  1939.725041  25862  111  148 -0.09436 -0.0          +22  0.02750  0.0               0  LossChiral    NoChange   0.98266      99.0               1               1    0
95586  1939.725041  25862  111  149 -0.08276 -0.0          +22  0.01095  0.0               0  LossChiral    NoChange   0.99888      99.0               1               1    0
tag: P31142_1URH_A
python src/data/backmap.py --aa_pdb ../Rebuild_AllAtom_structures/data/post_rebuilt/P31142_1URH_A_rebuilt.pdb --cg_pdb ./highQ_Misfoled_Candidates/P31142_t20_f-805_Q0.946.pdb -p 1

####################################################################################################
LOSS P31142 21
Qfile: ../../../../git_slugs/Failure-to-Form_Native_Entanglements_slug/Simulations_of_Native_Entanglement_Misfolding/Trajectory_Analysis/P31142_1URH_A/Q/P31142_1URH_A_t21.Q
(2600,) 259 0.9527027027027029 2341 0.9527027027027029
dcdfile: ../../../../git_slugs/Failure-to-Form_Native_Entanglements_slug/Simulations_of_Native_Entanglement_Misfolding/Temp_Quench_Dynamics/P31142_1URH_A/Quenching/P31142_1URH_A_t21_quench.dcd
psffile: ../../../../git_slugs/Failure-to-Form_Native_Entanglements_slug/Simulations_of_Native_Entanglement_Misfolding/Temp_Quench_Dynamics/P31142_1URH_A/setup/P31142_1URH_A_rebuilt_clean_ca.psf
Frame -2341 successfully saved to ./highQ_Misfoled_Candidates/P31142_t21_f-2341_Q0.953.pdb.
frame: 24326
frame_EntInfo:
          Time(ns)  Frame    i    j       gn   Gn   crossingsN       gc   Gc crossingsC NchangeType CchangeType  delta_gn  delta_gc  len_crossingsN  len_crossingsC  cID
17396  1824.525039  24326   62  265  0.15247  0.0          +23  0.06413  0.0          0  LossChiral    NoChange   0.96014      99.0               1               1    0
17397  1824.525039  24326   64  265  0.02003  0.0          +24  0.06449  0.0          0  LossChiral    NoChange   0.93982      99.0               1               1    0
17398  1824.525039  24326   65  240  0.00506  0.0          +23  1.08258  1.0       +260  LossChiral    NoChange   1.01640      99.0               1               1    1
17399  1824.525039  24326   66  240  0.06241  0.0          +23  1.03868  1.0       +260  LossChiral    NoChange   0.97416      99.0               1               1    1
17400  1824.525039  24326   67  262  0.08077  0.0          +23  0.07273  0.0          0  LossChiral    NoChange   0.93629      99.0               1               1    0
17401  1824.525039  24326   68  262  0.19424  0.0          +23  0.08239  0.0          0  LossChiral    NoChange   0.93040      99.0               1               1    0
17402  1824.525039  24326   71  146  0.08925  0.0          +23  0.02422  0.0          0  LossChiral    NoChange   0.96449      99.0               1               1    0
17403  1824.525039  24326   71  147  0.10220  0.0          +22  0.03451  0.0          0  LossChiral    NoChange   0.97572      99.0               1               1    0
17404  1824.525039  24326   71  148  0.12223  0.0          +22  0.04338  0.0          0  LossChiral    NoChange   0.97989      99.0               1               1    0
17405  1824.525039  24326   72  146  0.12439  0.0          +23  0.04692  0.0          0  LossChiral    NoChange   0.96844      99.0               1               1    0
17406  1824.525039  24326   74  146  0.12563  0.0          +22  0.05368  0.0          0  LossChiral    NoChange   0.97200      99.0               1               1    0
17407  1824.525039  24326   75  144  0.09413  0.0          +22  0.01801  0.0          0  LossChiral    NoChange   0.99351      99.0               1               1    0
17408  1824.525039  24326   75  145  0.11210  0.0          +22  0.03614  0.0          0  LossChiral    NoChange   0.98268      99.0               1               1    0
17409  1824.525039  24326   75  146  0.14093  0.0          +22  0.04281  0.0          0  LossChiral    NoChange   0.97591      99.0               1               1    0
17410  1824.525039  24326   78  144  0.13399  0.0          +22  0.03414  0.0          0  LossChiral    NoChange   0.98374      99.0               1               1    0
17411  1824.525039  24326   79  141  0.08843  0.0          +22 -0.02895 -0.0          0  LossChiral    NoChange   0.96245      99.0               1               1    0
17412  1824.525039  24326   79  142  0.11434  0.0          +22 -0.00260 -0.0          0  LossChiral    NoChange   0.96733      99.0               1               1    0
17413  1824.525039  24326   79  143  0.13579  0.0          +22  0.05091  0.0          0  LossChiral    NoChange   0.97541      99.0               1               1    0
17414  1824.525039  24326   79  144  0.15430  0.0          +22  0.02848  0.0          0  LossChiral    NoChange   0.97662      99.0               1               1    0
17415  1824.525039  24326   80  140  0.14234  0.0          +22 -0.07999 -0.0          0  LossChiral    NoChange   0.94662      99.0               1               1    0
17416  1824.525039  24326   80  141  0.14342  0.0          +22 -0.02440 -0.0          0  LossChiral    NoChange   0.96754      99.0               1               1    0
17417  1824.525039  24326   80  142  0.17100  0.0          +22  0.00270  0.0          0  LossChiral    NoChange   0.97666      99.0               1               1    0
17418  1824.525039  24326   81  141  0.16627  0.0          +22 -0.01765 -0.0          0  LossChiral    NoChange   0.95222      99.0               1               1    0
17419  1824.525039  24326   82  138  0.15593  0.0          +22 -0.11930 -0.0          0  LossChiral    NoChange   0.80839      99.0               1               1    0
17420  1824.525039  24326   82  139  0.16755  0.0          +22 -0.07984 -0.0          0  LossChiral    NoChange   0.83797      99.0               1               1    0
17421  1824.525039  24326   82  140  0.13587  0.0          +22 -0.07289 -0.0          0  LossChiral    NoChange   0.90483      99.0               1               1    0
17422  1824.525039  24326   82  141  0.14849  0.0          +22 -0.01709 -0.0          0  LossChiral    NoChange   0.91479      99.0               1               1    0
17423  1824.525039  24326   84  142  0.03283  0.0          +22  0.00293  0.0          0  LossChiral    NoChange   0.93145      99.0               1               1    0
17424  1824.525039  24326   84  143  0.03694  0.0          +22  0.05501  0.0          0  LossChiral    NoChange   0.97504      99.0               1               1    0
17425  1824.525039  24326   84  144  0.05699  0.0          +22  0.03074  0.0          0  LossChiral    NoChange   0.97693      99.0               1               1    0
17426  1824.525039  24326   85  143  0.01536  0.0          +22  0.05296  0.0          0  LossChiral    NoChange   0.94712      99.0               1               1    0
17427  1824.525039  24326   85  144  0.03575  0.0          +22  0.02861  0.0          0  LossChiral    NoChange   0.94781      99.0               1               1    0
17428  1824.525039  24326   85  145  0.07695  0.0          +22  0.04134  0.0          0  LossChiral    NoChange   0.95064      99.0               1               1    0
17429  1824.525039  24326   86  143  0.00671  0.0          +22  0.04980  0.0          0  LossChiral    NoChange   0.87764      99.0               1               1    0
17430  1824.525039  24326   86  144  0.01664  0.0          +22  0.02510  0.0          0  LossChiral    NoChange   0.87711      99.0               1               1    0
17431  1824.525039  24326   97  207 -0.21817 -0.0      +23,-82  0.95328  1.0       +260  LossChiral    NoChange   0.85693      99.0               2               1    2
17432  1824.525039  24326   97  211 -0.20562 -0.0          +23  0.96657  1.0       +260  LossChiral    NoChange   0.84069      99.0               1               1    1
17433  1824.525039  24326   98  241 -0.19921 -0.0      +23,-82  0.92182  1.0       +259  LossChiral    NoChange   0.86458      99.0               2               1    2
17434  1824.525039  24326   98  242 -0.17410 -0.0      +23,-82  0.93310  1.0       +259  LossChiral    NoChange   0.88457      99.0               2               1    2
17435  1824.525039  24326   98  245 -0.16784 -0.0      +23,-82  0.97085  1.0       +259  LossChiral    NoChange   0.89634      99.0               2               1    2
17436  1824.525039  24326   99  241 -0.12219 -0.0  +23,-82,+92  0.91721  1.0       +259  LossChiral    NoChange   0.94327      99.0               3               1    3
17437  1824.525039  24326   99  242 -0.09149 -0.0  +24,-82,+92  0.92021  1.0       +259  LossChiral    NoChange   0.96337      99.0               3               1    3
17438  1824.525039  24326  101  244 -0.10627 -0.0      +23,-82  1.03254  1.0       +259  LossChiral    NoChange   0.99882      99.0               2               1    2
17439  1824.525039  24326  101  245 -0.05881 -0.0      +23,-82  0.93768  1.0       +259  LossChiral    NoChange   1.00054      99.0               2               1    2
17440  1824.525039  24326  101  248 -0.06116 -0.0      +23,-82  0.98478  1.0       +259  LossChiral    NoChange   1.00584      99.0               2               1    2
17441  1824.525039  24326  102  241 -0.05048 -0.0  +23,-82,+92  0.90311  1.0       +259  LossChiral    NoChange   0.94698      99.0               3               1    3
17442  1824.525039  24326  102  242 -0.02329 -0.0  +23,-82,+92  0.89276  1.0       +259  LossChiral    NoChange   0.96536      99.0               3               1    3
17443  1824.525039  24326  102  244 -0.04337 -0.0  +23,-82,+92  1.02674  1.0       +259  LossChiral    NoChange   0.97150      99.0               3               1    3
17444  1824.525039  24326  102  245 -0.00113 -0.0  +23,-82,+92  0.92567  1.0       +259  LossChiral    NoChange   0.97418      99.0               3               1    3
17445  1824.525039  24326  105  244 -0.06518 -0.0          +23  0.98093  1.0       +259  LossChiral    NoChange   0.93363      99.0               1               1    1
17446  1824.525039  24326  108  149 -0.08824 -0.0          +22  0.07361  0.0          0  LossChiral    NoChange   0.97301      99.0               1               1    0
17447  1824.525039  24326  109  148 -0.12275 -0.0          +22  0.05361  0.0          0  LossChiral    NoChange   0.95817      99.0               1               1    0
17448  1824.525039  24326  109  149 -0.11246 -0.0          +22  0.05726  0.0          0  LossChiral    NoChange   0.96879      99.0               1               1    0
17449  1824.525039  24326  109  150 -0.08610 -0.0          +22  0.10195  0.0          0  LossChiral    NoChange   0.96470      99.0               1               1    0
17450  1824.525039  24326  109  152 -0.08747 -0.0          +22  0.04508  0.0          0  LossChiral    NoChange   0.95997      99.0               1               1    0
17451  1824.525039  24326  110  146 -0.12045 -0.0          +22  0.00571  0.0          0  LossChiral    NoChange   1.05080      99.0               1               1    0
17452  1824.525039  24326  110  147 -0.06053 -0.0          +22  0.03088  0.0          0  LossChiral    NoChange   0.99972      99.0               1               1    0
17453  1824.525039  24326  110  148 -0.05475 -0.0          +22  0.03995  0.0          0  LossChiral    NoChange   1.00096      99.0               1               1    0
17454  1824.525039  24326  110  149 -0.04051 -0.0          +22  0.04569  0.0          0  LossChiral    NoChange   1.01169      99.0               1               1    0
17455  1824.525039  24326  111  146 -0.16870 -0.0          +22 -0.00061 -0.0          0  LossChiral    NoChange   1.03372      99.0               1               1    0
17456  1824.525039  24326  111  147 -0.10522 -0.0          +22  0.02666  0.0          0  LossChiral    NoChange   0.98074      99.0               1               1    0
17457  1824.525039  24326  111  148 -0.09260 -0.0          +22  0.03726  0.0          0  LossChiral    NoChange   0.98090      99.0               1               1    0
17458  1824.525039  24326  111  149 -0.08138 -0.0          +22  0.04475  0.0          0  LossChiral    NoChange   0.99750      99.0               1               1    0
tag: P31142_1URH_A
python src/data/backmap.py --aa_pdb ../Rebuild_AllAtom_structures/data/post_rebuilt/P31142_1URH_A_rebuilt.pdb --cg_pdb ./highQ_Misfoled_Candidates/P31142_t21_f-2341_Q0.953.pdb -p 1

####################################################################################################
LOSS P31142 36
Qfile: ../../../../git_slugs/Failure-to-Form_Native_Entanglements_slug/Simulations_of_Native_Entanglement_Misfolding/Trajectory_Analysis/P31142_1URH_A/Q/P31142_1URH_A_t36.Q
(2600,) 307 0.9391891891891893 2293 0.9391891891891893
dcdfile: ../../../../git_slugs/Failure-to-Form_Native_Entanglements_slug/Simulations_of_Native_Entanglement_Misfolding/Temp_Quench_Dynamics/P31142_1URH_A/Quenching/P31142_1URH_A_t36_quench.dcd
psffile: ../../../../git_slugs/Failure-to-Form_Native_Entanglements_slug/Simulations_of_Native_Entanglement_Misfolding/Temp_Quench_Dynamics/P31142_1URH_A/setup/P31142_1URH_A_rebuilt_clean_ca.psf
Frame -2293 successfully saved to ./highQ_Misfoled_Candidates/P31142_t36_f-2293_Q0.939.pdb.
frame: 24374
frame_EntInfo:
          Time(ns)  Frame    i    j       gn   Gn   crossingsN       gc   Gc      crossingsC NchangeType CchangeType  delta_gn  delta_gc  len_crossingsN  len_crossingsC  cID
19645  1828.125039  24374   62  265  0.06482  0.0          +23  0.01468  0.0               0  LossChiral    NoChange   1.04779      99.0               1               1    0
19646  1828.125039  24374   63  265  0.05865  0.0          +23  0.01564  0.0               0  LossChiral    NoChange   1.00618      99.0               1               1    0
19647  1828.125039  24374   64  264 -0.06541 -0.0          +23  0.02250  0.0               0  LossChiral    NoChange   1.03509      99.0               1               1    0
19648  1828.125039  24374   64  265 -0.07779 -0.0          +24  0.01712  0.0               0  LossChiral    NoChange   1.03764      99.0               1               1    0
19649  1828.125039  24374   67  262 -0.06587 -0.0          +23  0.05289  0.0               0  LossChiral    NoChange   1.08293      99.0               1               1    0
19650  1828.125039  24374   67  263 -0.04073 -0.0          +23  0.03071  0.0               0  LossChiral    NoChange   1.07943      99.0               1               1    0
19651  1828.125039  24374   74  146  0.05054  0.0          +22  0.01405  0.0               0  LossChiral    NoChange   1.04709      99.0               1               1    0
19652  1828.125039  24374   78  144  0.09365  0.0          +22 -0.00266 -0.0               0  LossChiral    NoChange   1.02408      99.0               1               1    0
19653  1828.125039  24374   84  142 -0.00423 -0.0          +22 -0.01471 -0.0               0  LossChiral    NoChange   0.96851      99.0               1               1    0
19654  1828.125039  24374   84  143  0.01689  0.0          +22  0.00834  0.0               0  LossChiral    NoChange   0.99509      99.0               1               1    0
19655  1828.125039  24374   84  144  0.02323  0.0          +22  0.00102  0.0               0  LossChiral    NoChange   1.01069      99.0               1               1    0
19656  1828.125039  24374   85  142  0.01848  0.0          +22 -0.01505 -0.0               0  LossChiral    NoChange   0.89079      99.0               1               1    0
19657  1828.125039  24374   85  143  0.03860  0.0          +22  0.00651  0.0               0  LossChiral    NoChange   0.92388      99.0               1               1    0
19658  1828.125039  24374   85  144  0.04253  0.0          +22 -0.00075 -0.0               0  LossChiral    NoChange   0.94103      99.0               1               1    0
19659  1828.125039  24374   97  207 -0.22443 -0.0      +23,-82  0.91276  1.0  +234,-244,+259  LossChiral    NoChange   0.86319      99.0               2               3    3
19660  1828.125039  24374   97  209 -0.20742 -0.0      +23,-82  0.96626  1.0  +234,-245,+259  LossChiral    NoChange   0.87742      99.0               2               3    3
19661  1828.125039  24374   98  241 -0.23110 -0.0      +23,-82  0.97656  1.0            +259  LossChiral    NoChange   0.89647      99.0               2               1    2
19662  1828.125039  24374   98  242 -0.19839 -0.0      +23,-82  0.96543  1.0            +259  LossChiral    NoChange   0.90886      99.0               2               1    2
19663  1828.125039  24374   98  245 -0.18331 -0.0      +23,-82  0.99836  1.0            +259  LossChiral    NoChange   0.91181      99.0               2               1    2
19664  1828.125039  24374   99  241 -0.15114 -0.0  +23,-82,+92  0.96680  1.0            +259  LossChiral    NoChange   0.97222      99.0               3               1    4
19665  1828.125039  24374   99  242 -0.11496 -0.0  +24,-82,+92  0.94709  1.0            +259  LossChiral    NoChange   0.98684      99.0               3               1    4
19666  1828.125039  24374   99  244 -0.13140 -0.0  +23,-82,+92  1.09665  1.0            +259  LossChiral    NoChange   0.98160      99.0               3               1    4
19667  1828.125039  24374  101  244 -0.11229 -0.0      +23,-82  1.07583  1.0            +259  LossChiral    NoChange   1.00484      99.0               2               1    2
19668  1828.125039  24374  101  245 -0.07147 -0.0      +23,-82  0.95828  1.0            +259  LossChiral    NoChange   1.01320      99.0               2               1    2
19669  1828.125039  24374  101  248 -0.06941 -0.0      +23,-82  1.01525  1.0            +259  LossChiral    NoChange   1.01409      99.0               2               1    2
19670  1828.125039  24374  102  241 -0.08859 -0.0  +23,-82,+92  0.95350  1.0            +259  LossChiral    NoChange   0.98509      99.0               3               1    4
19671  1828.125039  24374  102  242 -0.05618 -0.0  +23,-82,+92  0.92167  1.0            +259  LossChiral    NoChange   0.99825      99.0               3               1    4
19672  1828.125039  24374  102  244 -0.06476 -0.0  +23,-82,+92  1.07246  1.0            +259  LossChiral    NoChange   0.99289      99.0               3               1    4
19673  1828.125039  24374  102  245 -0.02779 -0.0  +23,-82,+92  0.94902  1.0            +259  LossChiral    NoChange   1.00084      99.0               3               1    4
19674  1828.125039  24374  105  244 -0.10227 -0.0          +23  1.02556  1.0            +259  LossChiral    NoChange   0.97072      99.0               1               1    1
19675  1828.125039  24374  109  148 -0.14221 -0.0          +22  0.04016  0.0               0  LossChiral    NoChange   0.97763      99.0               1               1    0
19676  1828.125039  24374  109  149 -0.12318 -0.0          +22  0.06860  0.0               0  LossChiral    NoChange   0.97951      99.0               1               1    0
19677  1828.125039  24374  109  152 -0.10874 -0.0          +22  0.05136  0.0               0  LossChiral    NoChange   0.98124      99.0               1               1    0
19678  1828.125039  24374  110  146 -0.10989 -0.0          +22 -0.00245 -0.0               0  LossChiral    NoChange   1.04024      99.0               1               1    0
19679  1828.125039  24374  110  147 -0.06882 -0.0          +22  0.02707  0.0               0  LossChiral    NoChange   1.00801      99.0               1               1    0
19680  1828.125039  24374  110  148 -0.07235 -0.0          +22  0.03615  0.0               0  LossChiral    NoChange   1.01856      99.0               1               1    0
19681  1828.125039  24374  110  149 -0.05021 -0.0          +22  0.06429  0.0               0  LossChiral    NoChange   1.02139      99.0               1               1    0
19682  1828.125039  24374  111  146 -0.13725 -0.0          +22 -0.00058 -0.0               0  LossChiral    NoChange   1.00227      99.0               1               1    0
19683  1828.125039  24374  111  147 -0.09180 -0.0          +22  0.02891  0.0               0  LossChiral    NoChange   0.96732      99.0               1               1    0
19684  1828.125039  24374  111  148 -0.08864 -0.0          +22  0.03933  0.0               0  LossChiral    NoChange   0.97694      99.0               1               1    0
tag: P31142_1URH_A
python src/data/backmap.py --aa_pdb ../Rebuild_AllAtom_structures/data/post_rebuilt/P31142_1URH_A_rebuilt.pdb --cg_pdb ./highQ_Misfoled_Candidates/P31142_t36_f-2293_Q0.939.pdb -p 1

####################################################################################################
LOSS P31142 46
Qfile: ../../../../git_slugs/Failure-to-Form_Native_Entanglements_slug/Simulations_of_Native_Entanglement_Misfolding/Trajectory_Analysis/P31142_1URH_A/Q/P31142_1URH_A_t46.Q
(2600,) 1894 0.9662162162162162 706 0.9662162162162162
dcdfile: ../../../../git_slugs/Failure-to-Form_Native_Entanglements_slug/Simulations_of_Native_Entanglement_Misfolding/Temp_Quench_Dynamics/P31142_1URH_A/Quenching/P31142_1URH_A_t46_quench.dcd
psffile: ../../../../git_slugs/Failure-to-Form_Native_Entanglements_slug/Simulations_of_Native_Entanglement_Misfolding/Temp_Quench_Dynamics/P31142_1URH_A/setup/P31142_1URH_A_rebuilt_clean_ca.psf
Frame -706 successfully saved to ./highQ_Misfoled_Candidates/P31142_t46_f-706_Q0.966.pdb.
frame: 25961
frame_EntInfo:
          Time(ns)  Frame    i    j       gn   Gn   crossingsN       gc   Gc crossingsC NchangeType CchangeType  delta_gn  delta_gc  len_crossingsN  len_crossingsC  cID
98564  1947.150041  25961   62  265  0.05646  0.0          +23  0.01989  0.0          0  LossChiral    NoChange   1.05615      99.0               1               1    0
98565  1947.150041  25961   63  265  0.01735  0.0          +23  0.01901  0.0          0  LossChiral    NoChange   1.04748      99.0               1               1    0
98566  1947.150041  25961   64  263 -0.13627 -0.0          +23  0.03931  0.0          0  LossChiral    NoChange   1.10483      99.0               1               1    0
98567  1947.150041  25961   64  264 -0.14261 -0.0          +23  0.04735  0.0          0  LossChiral    NoChange   1.11229      99.0               1               1    0
98568  1947.150041  25961   64  265 -0.15892 -0.0          +24  0.02211  0.0          0  LossChiral    NoChange   1.11877      99.0               1               1    0
98569  1947.150041  25961   66  240 -0.17975 -0.0          +23  1.04580  1.0       +259  LossChiral    NoChange   1.21632      99.0               1               1    1
98570  1947.150041  25961   67  262 -0.10183 -0.0          +23  0.07352  0.0          0  LossChiral    NoChange   1.11889      99.0               1               1    0
98571  1947.150041  25961   71  146 -0.05148 -0.0          +23  0.00062  0.0          0  LossChiral    NoChange   1.10522      99.0               1               1    0
98572  1947.150041  25961   71  147 -0.02707 -0.0          +22  0.00632  0.0          0  LossChiral    NoChange   1.10499      99.0               1               1    0
98573  1947.150041  25961   72  146 -0.00409 -0.0          +23  0.01602  0.0          0  LossChiral    NoChange   1.09692      99.0               1               1    0
98574  1947.150041  25961   74  146 -0.00626 -0.0          +22  0.03249  0.0          0  LossChiral    NoChange   1.10389      99.0               1               1    0
98575  1947.150041  25961   75  144 -0.04196 -0.0          +22 -0.00055 -0.0          0  LossChiral    NoChange   1.12960      99.0               1               1    0
98576  1947.150041  25961   75  145 -0.00351 -0.0          +22  0.00818  0.0          0  LossChiral    NoChange   1.09829      99.0               1               1    0
98577  1947.150041  25961   75  146 -0.00000 -0.0          +22  0.02202  0.0          0  LossChiral    NoChange   1.11684      99.0               1               1    0
98578  1947.150041  25961   78  144  0.01253  0.0          +22  0.01450  0.0          0  LossChiral    NoChange   1.10520      99.0               1               1    0
98579  1947.150041  25961   79  144  0.04760  0.0          +22  0.00883  0.0          0  LossChiral    NoChange   1.08332      99.0               1               1    0
98580  1947.150041  25961   83  143  0.06032  0.0          +22  0.03694  0.0          0  LossChiral    NoChange   0.96877      99.0               1               1    0
98581  1947.150041  25961   84  142  0.05637  0.0          +22  0.01381  0.0          0  LossChiral    NoChange   0.90791      99.0               1               1    0
98582  1947.150041  25961   84  143  0.01507  0.0          +22  0.03150  0.0          0  LossChiral    NoChange   0.99691      99.0               1               1    0
98583  1947.150041  25961   84  144  0.01944  0.0          +22  0.01495  0.0          0  LossChiral    NoChange   1.01448      99.0               1               1    0
98584  1947.150041  25961   85  143  0.00291  0.0          +22  0.02902  0.0          0  LossChiral    NoChange   0.95957      99.0               1               1    0
98585  1947.150041  25961   86  143 -0.01424 -0.0          +22  0.03144  0.0          0  LossChiral    NoChange   0.89859      99.0               1               1    0
98586  1947.150041  25961   97  207 -0.27231 -0.0      +23,-82  0.87769  1.0       +259  LossChiral    NoChange   0.91107      99.0               2               1    2
98587  1947.150041  25961   97  211 -0.26575 -0.0          +23  0.92357  1.0       +259  LossChiral    NoChange   0.90082      99.0               1               1    1
98588  1947.150041  25961   98  241 -0.32931 -0.0      +23,-82  0.90835  1.0       +259  LossChiral    NoChange   0.99468      99.0               2               1    2
98589  1947.150041  25961   98  242 -0.29129 -0.0      +23,-82  0.89357  1.0       +259  LossChiral    NoChange   1.00176      99.0               2               1    2
98590  1947.150041  25961   98  245 -0.27600 -0.0      +23,-82  0.92688  1.0       +259  LossChiral    NoChange   1.00450      99.0               2               1    2
98591  1947.150041  25961   99  241 -0.26342 -0.0  +23,-82,+92  0.89865  1.0       +259  LossChiral    NoChange   1.08450      99.0               3               1    3
98592  1947.150041  25961   99  242 -0.22231 -0.0  +24,-82,+92  0.87618  1.0       +259  LossChiral    NoChange   1.09419      99.0               3               1    3
98593  1947.150041  25961   99  244 -0.24318 -0.0  +23,-82,+92  1.02889  1.0       +259  LossChiral    NoChange   1.09338      99.0               3               1    3
98594  1947.150041  25961  101  244 -0.20921 -0.0      +23,-82  1.00846  1.0       +259  LossChiral    NoChange   1.10176      99.0               2               1    2
98595  1947.150041  25961  101  245 -0.16289 -0.0      +23,-82  0.88597  1.0       +259  LossChiral    NoChange   1.10462      99.0               2               1    2
98596  1947.150041  25961  101  248 -0.15933 -0.0      +23,-82  0.94780  1.0       +259  LossChiral    NoChange   1.10401      99.0               2               1    2
98597  1947.150041  25961  102  241 -0.17659 -0.0  +23,-82,+92  0.88791  1.0       +259  LossChiral    NoChange   1.07309      99.0               3               1    3
98598  1947.150041  25961  102  242 -0.13704 -0.0  +23,-82,+92  0.85573  1.0       +259  LossChiral    NoChange   1.07911      99.0               3               1    3
98599  1947.150041  25961  102  244 -0.14950 -0.0  +23,-82,+92  1.00878  1.0       +259  LossChiral    NoChange   1.07763      99.0               3               1    3
98600  1947.150041  25961  102  245 -0.10664 -0.0  +23,-82,+92  0.88121  1.0       +259  LossChiral    NoChange   1.07969      99.0               3               1    3
98601  1947.150041  25961  105  244 -0.14518 -0.0          +23  0.96597  1.0       +259  LossChiral    NoChange   1.01363      99.0               1               1    1
98602  1947.150041  25961  108  149 -0.15681 -0.0          +22  0.06840  0.0          0  LossChiral    NoChange   1.04158      99.0               1               1    0
98603  1947.150041  25961  109  148 -0.17940 -0.0          +22  0.03665  0.0          0  LossChiral    NoChange   1.01482      99.0               1               1    0
98604  1947.150041  25961  109  149 -0.15648 -0.0          +22  0.04473  0.0          0  LossChiral    NoChange   1.01281      99.0               1               1    0
98605  1947.150041  25961  109  152 -0.13353 -0.0          +22  0.05146  0.0          0  LossChiral    NoChange   1.00603      99.0               1               1    0
98606  1947.150041  25961  110  146 -0.16138 -0.0          +22 -0.00671 -0.0          0  LossChiral    NoChange   1.09173      99.0               1               1    0
